["Mozilla/5.0 (Linux; Android 13; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/94.0.5279.40 Mobile Safari/537.36",",
"Mozilla/5.0 (Linux; Android 14; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/81.0.3686.40 Mobile Safari/537.36",",
"Mozilla/5.0 (Linux; Android 13; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/41.0.5974.20 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 13; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/71.0.4463.99 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 13; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/57.0.3538.42 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 15; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/68.0.4701.34 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 11; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/107.0.5982.50 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 13; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/43.0.4697.85 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 15; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/111.0.5362.70 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 8; 23013PC75G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/89.0.4842.78 Mobile Safari/537.36",
"Mozilla/5.0 (Linux; Android 12; 22127PC95I Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/101.0.4300.27 Mobile Safari/537.36",
